target,model,preprocessing,RMSE,MAE,R2,RPD
Moisture,ridge,mean_center,0.006783137153858198,0.005218399012438701,0.999677950135791,56.075078168919305
Moisture,svr_rbf,mean_center,0.09200162695852006,0.05836695570160875,0.9407548315925849,4.13432847556697
Moisture,random_forest,mean_center,0.25561997787537155,0.21276469853445085,0.5426470242086552,1.4880094634799927
Moisture,gradient_boosting,mean_center,0.25552234022510856,0.2097012124675847,0.5429963423017865,1.4885780468275596
Moisture,plsr,mean_center,0.018557041444816083,0.014929149271927612,0.9975896539465138,20.497068310388148
Oil,ridge,sg_deriv2,0.028765436049591548,0.0229073762329279,0.9732682693379551,6.15485618335462
Oil,svr_rbf,sg_deriv2,0.07794013684444466,0.05800263992096959,0.8037509870700412,2.2715782792385464
Oil,random_forest,sg_deriv2,0.1017262658607362,0.07932098186612375,0.6656884672080792,1.7404268252517878
Oil,gradient_boosting,sg_deriv2,0.0982517665648464,0.0759826644778466,0.6881355377913859,1.80197393010607
Oil,plsr,sg_deriv2,0.02999626865476446,0.024369182892312415,0.9709317007610689,5.9023048491265975
Protein,ridge,sg_deriv1,0.030430730543162154,0.022307850803992925,0.9962280982359014,16.385181677129445
Protein,svr_rbf,sg_deriv1,0.1489157300351788,0.10778106046962377,0.9096731705867291,3.3482899919282874
Protein,random_forest,sg_deriv1,0.2341998475573821,0.17810307253337027,0.7765867982455144,2.129006716775582
Protein,gradient_boosting,sg_deriv1,0.21335375846175955,0.16050314386510947,0.8145886943853464,2.3370249116415387
Protein,plsr,sg_deriv1,0.0924908728272862,0.06678611902565681,0.9651555693903208,5.390943271219574
Starch,ridge,sg_deriv2,0.1640485403342102,0.12566211594452686,0.9595421965462796,5.002997636685116
Starch,svr_rbf,sg_deriv2,0.29750785008846603,0.2192161794845715,0.8669378861596665,2.7586984993829424
Starch,random_forest,sg_deriv2,0.4215235825812796,0.3325533299107149,0.7328831327475432,1.947066530816078
Starch,gradient_boosting,sg_deriv2,0.3937275957329996,0.31179537020132575,0.7669499132238563,2.084523585566162
Starch,plsr,sg_deriv2,0.22830874982676236,0.17494821135766347,0.9216385125475258,3.5948445261798287
