target,slave_instrument,method,n_transfer,n_eval,RMSE,MAE,R2,RPD
Moisture,mp5,no_correction,25,55,1.4392029510048794,1.4216088791751047,-15.80422973915389,0.24619269341234953
Moisture,mp5,DS,25,55,0.171142803116373,0.1373654637686983,0.76237517470281,2.070325157838878
Moisture,mp5,PDS,25,55,0.2301815728703855,0.17690675998907618,0.5701512824222321,1.5393119720943524
Moisture,mp5,SBC,25,55,0.20038267652151853,0.1585262027536424,0.6742421611677031,1.7682229673024823
Moisture,mp5,DS_nbs_standards_exploratory,3,55,8.804154251660743,8.796323158076778,-627.8539809499713,0.04024477999213346
Moisture,mp6,no_correction,25,55,1.5057376815504802,1.4818779199717624,-21.17509435515913,0.21431458451804503
Moisture,mp6,DS,25,55,0.16341163499999892,0.12278891104888598,0.7388242868320026,1.9747770445761568
Moisture,mp6,PDS,25,55,0.35810252677385557,0.31150058125815516,-0.2542427793018518,0.9011428892219014
Moisture,mp6,SBC,25,55,0.23995793297885762,0.19479897040051833,0.43683317550431744,1.3448254934046642
Moisture,mp6,DS_nbs_standards_exploratory,3,55,7.683412559333792,7.6786836268272625,-576.3978268477837,0.041999768087766995
Oil,mp5,no_correction,25,55,0.2884747068702256,0.2790060228339431,-1.5814158474059692,0.628138595178896
Oil,mp5,DS,25,55,0.12018492960891904,0.08910951979295496,0.5519334561385828,1.5076939988044904
Oil,mp5,PDS,25,55,0.5985240595387408,0.47835010470797795,-10.112344999336948,0.30274822579020927
Oil,mp5,SBC,25,55,0.07870471404354702,0.05981734980415344,0.807848410601904,2.302302972828907
Oil,mp5,DS_nbs_standards_exploratory,3,55,8.310661115177874,8.308140559302188,-2141.464513301694,0.02180357189480094
Oil,mp6,no_correction,25,55,0.18222293409182452,0.17182457099160908,-0.04716735445391884,0.9862259315093925
Oil,mp6,DS,25,55,0.11688324409364151,0.08818991490026604,0.5691614674429503,1.5375427360067664
Oil,mp6,PDS,25,55,0.8067018059692735,0.6354915234798793,-19.522774940007782,0.22277498523900588
Oil,mp6,SBC,25,55,0.07796139489325575,0.057970765491377356,0.8083233431178509,2.3051535078758683
Oil,mp6,DS_nbs_standards_exploratory,3,55,22.789491385509372,22.77322240775154,-16377.694771411749,0.007885782963605509
Protein,mp5,no_correction,25,55,0.8000861746795175,0.7896699494255576,-1.3308140733560054,0.6610444281843731
Protein,mp5,DS,25,55,0.18738787757547434,0.1537343134904529,0.8721451861475155,2.8224478268409956
Protein,mp5,PDS,25,55,0.6388371733855941,0.4544882005040593,-0.4859851131512234,0.8278987664983786
Protein,mp5,SBC,25,55,0.12898371446906504,0.10094529987670439,0.9394235443626965,4.1004595814000355
Protein,mp5,DS_nbs_standards_exploratory,3,55,7.292915109202637,7.276323666040727,-192.65843434340275,0.07252141289453046
Protein,mp6,no_correction,25,55,0.9344895693652643,0.9273903910554464,-2.2167118030264144,0.5627019090025825
Protein,mp6,DS,25,55,0.16489566620292037,0.12901758644218195,0.8998429050242226,3.188919859044317
Protein,mp6,PDS,25,55,0.46198693706450583,0.3774398296211292,0.2138188479311901,1.138211976221774
Protein,mp6,SBC,25,55,0.12192932433374008,0.09247309455139417,0.9452379659993395,4.312654625933379
Protein,mp6,DS_nbs_standards_exploratory,3,55,9.016171634465362,8.90043311400993,-298.43845764528754,0.05832176736906324
Starch,mp5,no_correction,25,55,1.3712013681780164,1.337806190892763,-1.651956120333835,0.6197282559854986
Starch,mp5,DS,25,55,0.41503814382662635,0.3287968585819469,0.757037144969879,2.0474557462864587
Starch,mp5,PDS,25,55,1.494119172579114,1.1448010225187395,-2.148722121977245,0.5687446142860442
Starch,mp5,SBC,25,55,0.30973475752423674,0.2542590402267224,0.8646856845688858,2.7435481871594507
Starch,mp5,DS_nbs_standards_exploratory,3,55,119.59545171908267,119.57856748870944,-20173.054283431808,0.007105389212475393
Starch,mp6,no_correction,25,55,0.5605970396577036,0.485262655304168,0.5065373489207626,1.4366709856159643
Starch,mp6,DS,25,55,0.4293903204721371,0.33970060667609336,0.7104942540604093,1.875667575861637
Starch,mp6,PDS,25,55,1.7774567179771734,1.3686002515526905,-3.9607890071218046,0.4531156755338601
Starch,mp6,SBC,25,55,0.3095591835693301,0.2555680697418632,0.8495334121013315,2.6017432020977203
Starch,mp6,DS_nbs_standards_exploratory,3,55,229.55503750217395,228.36507893743794,-82741.06259509241,0.0035084984858622303
